Episode: 370, Step: 62, Total Reward: 76
Episode: 371, Step: 84, Total Reward: 68
Episode: 372, Step: 83, Total Reward: 78
Episode: 373, Step: 82, Total Reward: 70
Episode: 374, Step: 53, Total Reward: 83
Episode: 375, Step: 59, Total Reward: 86
Episode: 376, Step: 97, Total Reward: 64
Episode: 377, Step: 84, Total Reward: 75
Episode: 378, Step: 99, Total Reward:-33
Episode: 379, Step: 56, Total Reward: 87
Episode: 380, Step: 88, Total Reward: 73
Episode: 381, Step: 73, Total Reward: 74
Episode: 382, Step: 55, Total Reward: 83
Episode: 383, Step: 75, Total Reward: 75
Episode: 384, Step: 72, Total Reward: 78
Episode: 385, Step: 69, Total Reward: 76
Episode: 386, Step: 58, Total Reward: 83
Episode: 387, Step: 61, Total Reward: 84
Episode: 388, Step: 65, Total Reward: 78
Episode: 389, Step: 42, Total Reward: 90
Episode: 390, Step: 72, Total Reward: 75
Episode: 391, Step: 79, Total Reward: 73
Episode: 392, Step: 91, Total Reward: 70
Episode: 393, Step: 79, Total Reward: 77
Episode: 394, Step: 53, Total Reward: 88
Episode: 395, Step: 90, Total Reward: 71
Episode: 396, Step: 75, Total Reward: 72
Episode: 397, Step: 77, Total Reward: 70
Episode: 398, Step: 96, Total Reward: 65
Episode: 399, Step: 68, Total Reward: 79
Episode: 400, Step: 68, Total Reward: 77
Episode: 401, Step: 91, Total Reward: 70
Episode: 402, Step: 78, Total Reward: 69
Episode: 403, Step: 80, Total Reward: 76
Episode: 404, Step: 61, Total Reward: 82
Episode: 405, Step: 71, Total Reward: 76
Episode: 406, Step: 58, Total Reward: 83
Episode: 407, Step: 71, Total Reward: 74
Episode: 408, Step: 79, Total Reward: 79
Episode: 409, Step: 95, Total Reward: 72
Episode: 410, Step: 70, Total Reward: 79
Episode: 411, Step: 61, Total Reward: 82
Episode: 412, Step: 52, Total Reward: 88
Episode: 413, Step: 72, Total Reward: 78
Episode: 414, Step: 56, Total Reward: 84
Episode: 415, Step: 72, Total Reward: 77
Episode: 416, Step: 90, Total Reward: 73
Episode: 417, Step: 82, Total Reward: 72
Episode: 418, Step: 82, Total Reward: 76
Episode: 419, Step: 76, Total Reward: 78
Episode: 420, Step: 93, Total Reward: 70
Episode: 421, Step: 79, Total Reward: 79
Episode: 422, Step: 65, Total Reward: 82
Episode: 423, Step: 72, Total Reward: 80
Episode: 424, Step: 99, Total Reward:-33
Episode: 425, Step: 89, Total Reward: 76
Episode: 426, Step: 93, Total Reward: 70
Episode: 427, Step: 51, Total Reward: 85
Episode: 428, Step: 65, Total Reward: 76
Episode: 429, Step: 62, Total Reward: 85
Episode: 430, Step: 75, Total Reward: 74
Episode: 431, Step: 64, Total Reward: 83
Episode: 432, Step: 55, Total Reward: 85
Episode: 433, Step: 48, Total Reward: 90
Episode: 434, Step: 53, Total Reward: 88
Episode: 435, Step: 73, Total Reward: 77
Episode: 436, Step: 74, Total Reward: 78
Episode: 437, Step: 71, Total Reward: 74
Episode: 438, Step: 82, Total Reward: 74
Episode: 439, Step: 42, Total Reward: 89
Episode: 440, Step: 77, Total Reward: 82
Episode: 441, Step: 99, Total Reward:-34
Episode: 442, Step: 87, Total Reward: 74
Episode: 443, Step: 73, Total Reward: 83
Episode: 444, Step: 60, Total Reward: 81
Episode: 445, Step: 45, Total Reward: 89
Episode: 446, Step: 67, Total Reward: 78
Episode: 447, Step: 48, Total Reward: 90
Episode: 448, Step: 68, Total Reward: 84
Episode: 449, Step: 81, Total Reward: 77
Episode: 450, Step: 77, Total Reward: 81
Episode: 451, Step: 55, Total Reward: 88
Episode: 452, Step: 89, Total Reward: 65
Episode: 453, Step: 91, Total Reward: 72
Episode: 454, Step: 58, Total Reward: 83
Episode: 455, Step: 45, Total Reward: 86
Episode: 456, Step: 68, Total Reward: 82
Episode: 457, Step: 63, Total Reward: 80
Episode: 458, Step: 59, Total Reward: 82
Episode: 459, Step: 68, Total Reward: 77
Episode: 460, Step: 96, Total Reward: 74
Episode: 461, Step: 47, Total Reward: 89
Episode: 462, Step: 54, Total Reward: 82
Episode: 463, Step: 54, Total Reward: 84
Episode: 464, Step: 75, Total Reward: 77
Episode: 465, Step: 68, Total Reward: 77
Episode: 466, Step: 56, Total Reward: 85
Episode: 467, Step: 66, Total Reward: 77
Episode: 468, Step: 84, Total Reward: 77
Episode: 469, Step: 67, Total Reward: 80
Episode: 470, Step: 66, Total Reward: 84
Episode: 471, Step: 58, Total Reward: 85
Episode: 472, Step: 59, Total Reward: 84
Episode: 473, Step: 57, Total Reward: 83
Episode: 474, Step: 49, Total Reward: 87
Episode: 475, Step: 99, Total Reward:-27
Episode: 476, Step: 50, Total Reward: 88
Episode: 477, Step: 54, Total Reward: 86
Episode: 478, Step: 54, Total Reward: 82
Episode: 479, Step: 54, Total Reward: 84
Episode: 480, Step: 66, Total Reward: 79
Episode: 481, Step: 78, Total Reward: 80
Episode: 482, Step: 53, Total Reward: 85
Episode: 483, Step: 75, Total Reward: 81
Episode: 484, Step: 52, Total Reward: 89
Episode: 485, Step: 72, Total Reward: 84
Episode: 486, Step: 51, Total Reward: 80
Episode: 487, Step: 67, Total Reward: 82
Episode: 488, Step: 61, Total Reward: 84
Episode: 489, Step: 41, Total Reward: 91
Episode: 490, Step: 49, Total Reward: 83
Episode: 491, Step: 54, Total Reward: 84
Episode: 492, Step: 58, Total Reward: 87
Episode: 493, Step: 40, Total Reward: 89
Episode: 494, Step: 46, Total Reward: 86
Episode: 495, Step: 79, Total Reward: 73
Episode: 496, Step: 61, Total Reward: 79
Episode: 497, Step: 57, Total Reward: 88
Episode: 498, Step: 92, Total Reward: 76
Episode: 499, Step: 78, Total Reward: 78
Episode: 500, Step: 49, Total Reward: 85
Episode: 501, Step: 61, Total Reward: 84
Episode: 502, Step: 47, Total Reward: 89
Episode: 503, Step: 57, Total Reward: 86
Episode: 504, Step: 54, Total Reward: 82
Episode: 505, Step: 72, Total Reward: 80
Episode: 506, Step: 57, Total Reward: 84
Episode: 507, Step: 59, Total Reward: 79
Episode: 508, Step: 50, Total Reward: 84
Episode: 509, Step: 45, Total Reward: 89
Episode: 510, Step: 49, Total Reward: 89
Episode: 511, Step: 48, Total Reward: 88
Episode: 512, Step: 62, Total Reward: 81
Episode: 513, Step: 51, Total Reward: 85
Episode: 514, Step: 80, Total Reward: 76
Episode: 515, Step: 59, Total Reward: 81
Episode: 516, Step: 62, Total Reward: 83
Episode: 517, Step: 69, Total Reward: 80
Episode: 518, Step: 56, Total Reward: 84
Episode: 519, Step: 50, Total Reward: 82
Episode: 520, Step: 58, Total Reward: 85
Episode: 521, Step: 53, Total Reward: 88
Episode: 522, Step: 51, Total Reward: 89
Episode: 523, Step: 63, Total Reward: 82
Episode: 524, Step: 50, Total Reward: 86
Episode: 525, Step: 77, Total Reward: 77
Episode: 526, Step: 51, Total Reward: 83
Episode: 527, Step: 46, Total Reward: 88
Episode: 528, Step: 49, Total Reward: 87
Episode: 529, Step: 77, Total Reward: 77
Episode: 530, Step: 58, Total Reward: 87
Episode: 531, Step: 56, Total Reward: 84
Episode: 532, Step: 53, Total Reward: 87
Episode: 533, Step: 52, Total Reward: 84
Episode: 534, Step: 58, Total Reward: 83
Episode: 535, Step: 55, Total Reward: 83
Episode: 536, Step: 71, Total Reward: 83
Episode: 537, Step: 47, Total Reward: 91
Episode: 538, Step: 50, Total Reward: 86
Episode: 539, Step: 52, Total Reward: 84
Episode: 540, Step: 63, Total Reward: 75
Episode: 541, Step: 54, Total Reward: 86
Episode: 542, Step: 52, Total Reward: 82
Episode: 543, Step: 64, Total Reward: 83
Episode: 544, Step: 75, Total Reward: 77
Episode: 545, Step: 52, Total Reward: 86
Episode: 546, Step: 53, Total Reward: 83
Episode: 547, Step: 59, Total Reward: 81
Episode: 548, Step: 49, Total Reward: 85
Episode: 549, Step: 70, Total Reward: 77
Episode: 550, Step: 46, Total Reward: 86
Episode: 551, Step: 50, Total Reward: 88
Episode: 552, Step: 53, Total Reward: 85
Episode: 553, Step: 63, Total Reward: 84
Episode: 554, Step: 46, Total Reward: 92
Episode: 555, Step: 48, Total Reward: 84
Episode: 556, Step: 38, Total Reward: 93
Episode: 557, Step: 46, Total Reward: 85
Episode: 558, Step: 51, Total Reward: 87
Episode: 559, Step: 45, Total Reward: 89
Episode: 560, Step: 53, Total Reward: 81
Episode: 561, Step: 48, Total Reward: 88
Episode: 562, Step: 43, Total Reward: 91
Episode: 563, Step: 49, Total Reward: 83
Episode: 564, Step: 47, Total Reward: 87
Episode: 565, Step: 39, Total Reward: 88
Episode: 566, Step: 61, Total Reward: 89
Episode: 567, Step: 63, Total Reward: 87
Episode: 568, Step: 72, Total Reward: 69
Episode: 569, Step: 50, Total Reward: 88
Episode: 570, Step: 70, Total Reward: 82
Episode: 571, Step: 56, Total Reward: 84
Episode: 572, Step: 64, Total Reward: 83
Episode: 573, Step: 41, Total Reward: 91
Episode: 574, Step: 43, Total Reward: 91
Episode: 575, Step: 58, Total Reward: 85
Episode: 576, Step: 48, Total Reward: 88
Episode: 577, Step: 47, Total Reward: 87
Episode: 578, Step: 53, Total Reward: 87
Episode: 579, Step: 46, Total Reward: 90
Episode: 580, Step: 50, Total Reward: 90
Episode: 581, Step: 57, Total Reward: 81
Episode: 582, Step: 58, Total Reward: 85
Episode: 583, Step: 48, Total Reward: 86
Episode: 584, Step: 52, Total Reward: 88
Episode: 585, Step: 37, Total Reward: 94
Episode: 586, Step: 47, Total Reward: 87
Episode: 587, Step: 50, Total Reward: 90
Episode: 588, Step: 38, Total Reward: 93
Episode: 589, Step: 49, Total Reward: 85
Episode: 590, Step: 42, Total Reward: 87
Episode: 591, Step: 40, Total Reward: 92
Episode: 592, Step: 38, Total Reward: 91
Episode: 593, Step: 62, Total Reward: 81
Episode: 594, Step: 60, Total Reward: 81
Episode: 595, Step: 50, Total Reward: 88
Episode: 596, Step: 53, Total Reward: 87
Episode: 597, Step: 43, Total Reward: 89
Episode: 598, Step: 50, Total Reward: 86
Episode: 599, Step: 36, Total Reward: 93
Episode: 600, Step: 58, Total Reward: 85
Episode: 601, Step: 44, Total Reward: 92
Episode: 602, Step: 56, Total Reward: 87
Episode: 603, Step: 47, Total Reward: 89
Episode: 604, Step: 79, Total Reward: 79
Episode: 605, Step: 40, Total Reward: 89
Episode: 606, Step: 50, Total Reward: 91
Episode: 607, Step: 41, Total Reward: 95
Episode: 608, Step: 47, Total Reward: 91
Episode: 609, Step: 55, Total Reward: 88
Episode: 610, Step: 52, Total Reward: 88
Episode: 611, Step: 45, Total Reward: 93
Episode: 612, Step: 43, Total Reward: 91
Episode: 613, Step: 49, Total Reward: 89
Episode: 614, Step: 49, Total Reward: 91
Episode: 615, Step: 48, Total Reward: 86
Episode: 616, Step: 35, Total Reward: 94
Episode: 617, Step: 42, Total Reward: 90
Episode: 618, Step: 52, Total Reward: 86
Episode: 619, Step: 50, Total Reward: 88
Episode: 620, Step: 45, Total Reward: 93
Episode: 621, Step: 52, Total Reward: 84
Episode: 622, Step: 36, Total Reward: 95
Episode: 623, Step: 50, Total Reward: 91
Episode: 624, Step: 57, Total Reward: 83
Episode: 625, Step: 44, Total Reward: 90
Episode: 626, Step: 36, Total Reward: 95
Episode: 627, Step: 44, Total Reward: 92
Episode: 628, Step: 54, Total Reward: 84
Episode: 629, Step: 38, Total Reward: 89
Episode: 630, Step: 51, Total Reward: 87
Episode: 631, Step: 52, Total Reward: 86
Episode: 632, Step: 57, Total Reward: 86
Episode: 633, Step: 39, Total Reward: 92
Episode: 634, Step: 44, Total Reward: 87
Episode: 635, Step: 55, Total Reward: 85
