Episode: 313, Step:10720, Total Reward:-1837
Episode: 314, Step:21795, Total Reward:-3937
Episode: 315, Step:8756, Total Reward:-1477
Episode: 316, Step:5157, Total Reward:-837
Episode: 317, Step:5800, Total Reward:-965
Episode: 318, Step:7465, Total Reward:-1291
Episode: 319, Step:5234, Total Reward:-853
Episode: 320, Step:5795, Total Reward:-987
Episode: 321, Step:8822, Total Reward:-1496
Episode: 322, Step:6438, Total Reward:-1081
Episode: 323, Step:9795, Total Reward:-1738
Episode: 324, Step:8911, Total Reward:-1554
Episode: 325, Step:6088, Total Reward:-999
Episode: 326, Step:6255, Total Reward:-1051
Episode: 327, Step:7460, Total Reward:-1243
Episode: 328, Step:11287, Total Reward:-1968
Episode: 329, Step:5596, Total Reward:-911
Episode: 330, Step:8603, Total Reward:-1462
Episode: 331, Step:13259, Total Reward:-2290
Episode: 332, Step:6539, Total Reward:-1094
Episode: 333, Step:5847, Total Reward:-940
Episode: 334, Step:6221, Total Reward:-1010
Episode: 335, Step:7161, Total Reward:-1210
Episode: 336, Step:5360, Total Reward:-835
Episode: 337, Step:4900, Total Reward:-773
Episode: 338, Step:8055, Total Reward:-1353
Episode: 339, Step:7730, Total Reward:-1286
Episode: 340, Step:17612, Total Reward:-3133
Episode: 341, Step:6125, Total Reward:-1015
Episode: 342, Step:7902, Total Reward:-1357
Episode: 343, Step:5921, Total Reward:-1002
Episode: 344, Step:9683, Total Reward:-1667
Episode: 345, Step:5717, Total Reward:-895
Episode: 346, Step:8650, Total Reward:-1464
Episode: 347, Step:5975, Total Reward:-991
Episode: 348, Step:6023, Total Reward:-987
Episode: 349, Step:5883, Total Reward:-938
Episode: 350, Step:4998, Total Reward:-761
Episode: 351, Step:4983, Total Reward:-803
Episode: 352, Step:6496, Total Reward:-1056
Episode: 353, Step:5239, Total Reward:-879
Episode: 354, Step:5907, Total Reward:-964
Episode: 355, Step:7850, Total Reward:-1348
Episode: 356, Step:5233, Total Reward:-825
Episode: 357, Step:5248, Total Reward:-833
Episode: 358, Step:8316, Total Reward:-1440
Episode: 359, Step:6771, Total Reward:-1133
Episode: 360, Step:4925, Total Reward:-812
Episode: 361, Step:5067, Total Reward:-796
Episode: 362, Step:7062, Total Reward:-1167
Episode: 363, Step:9631, Total Reward:-1623
Episode: 364, Step:20776, Total Reward:-3627
Episode: 365, Step:5650, Total Reward:-875
Episode: 366, Step:4889, Total Reward:-807
Episode: 367, Step:7079, Total Reward:-1121
Episode: 368, Step:7209, Total Reward:-1224
Episode: 369, Step:6450, Total Reward:-1010
Episode: 370, Step:5114, Total Reward:-810
Episode: 371, Step:5172, Total Reward:-830
Episode: 372, Step:6628, Total Reward:-1070
Episode: 373, Step:5750, Total Reward:-937
Episode: 374, Step:5037, Total Reward:-778
Episode: 375, Step:7942, Total Reward:-1303
Episode: 376, Step:15282, Total Reward:-2691
Episode: 377, Step:5931, Total Reward:-954
Episode: 378, Step:5221, Total Reward:-784
Episode: 379, Step:4932, Total Reward:-790
Episode: 380, Step:5343, Total Reward:-859
Episode: 381, Step:10599, Total Reward:-1793
Episode: 382, Step:5115, Total Reward:-791
Episode: 383, Step:9295, Total Reward:-1596
Episode: 384, Step:8748, Total Reward:-1497
Episode: 385, Step:5252, Total Reward:-846
Episode: 386, Step:8009, Total Reward:-1286
Episode: 387, Step:5111, Total Reward:-789
Episode: 388, Step:4663, Total Reward:-699
Episode: 389, Step:5983, Total Reward:-941
Episode: 390, Step:10382, Total Reward:-1715
Episode: 391, Step:9535, Total Reward:-1636
Episode: 392, Step:5031, Total Reward:-752
Episode: 393, Step:5255, Total Reward:-813
Episode: 394, Step:4618, Total Reward:-689
Episode: 395, Step:5250, Total Reward:-804
Episode: 396, Step:5492, Total Reward:-843
Episode: 397, Step:5166, Total Reward:-799
Episode: 398, Step:20163, Total Reward:-3399
Episode: 399, Step:7046, Total Reward:-1180
Episode: 400, Step:4481, Total Reward:-670
Episode: 401, Step:4544, Total Reward:-690
Episode: 402, Step:11074, Total Reward:-1843
Episode: 403, Step:11740, Total Reward:-1962
Episode: 404, Step:8928, Total Reward:-1443
Episode: 405, Step:5043, Total Reward:-784
Episode: 406, Step:4879, Total Reward:-734
Episode: 407, Step:5237, Total Reward:-802
Episode: 408, Step:8372, Total Reward:-1363
Episode: 409, Step:5285, Total Reward:-830
Episode: 410, Step:5833, Total Reward:-901
Episode: 411, Step:4825, Total Reward:-699
Episode: 412, Step:4083, Total Reward:-587
Episode: 413, Step:5716, Total Reward:-878
Episode: 414, Step:4528, Total Reward:-647
Episode: 415, Step:4947, Total Reward:-715
Episode: 416, Step:4403, Total Reward:-664
Episode: 417, Step:5144, Total Reward:-806
Episode: 418, Step:7821, Total Reward:-1269
Episode: 419, Step:4856, Total Reward:-685
Episode: 420, Step:7087, Total Reward:-1145
Episode: 421, Step:4628, Total Reward:-679
Episode: 422, Step:7136, Total Reward:-1153
Episode: 423, Step:4742, Total Reward:-723
